V1,V2
ZBTB33,CTCF
ZBTB33,EGR1
ZBTB33,ZZZ3
ZBTB33,GATA1
ZBTB33,MXI1
ZBTB33,ATF3
ZBTB33,ATF4
ZBTB33,ATF2
ZBTB33,ATF1
ZBTB33,CLEC5A
ZBTB33,MAPK1
ZBTB33,CDC5L
ZBTB33,ATF7
ZBTB33,ATF6
ZBTB33,ATF5
ZBTB33,CEACAM5
ZBTB33,CES1
ZBTB33,PRAME
ZBTB33,CEACAM6
ZBTB33,THAP1
ZBTB33,MAP2K2
ZBTB33,ALDH4A1
ZBTB33,CDC20
ZNF263,TRIM28
ZNF263,EGR1
ZNF263,FOSL2
ZNF263,GABPA
ZNF263,MAX
ZNF263,MEF2C
ZNF263,MYC
ZNF263,SPI1
ZNF263,TFAP2A
ZNF263,SETDB1
ZNF263,TP53
ZNF263,ELK1
ZNF263,SMAD3
ZNF263,TGIF1
ZNF263,NR2F2
ZNF263,NR2F1
ZNF263,BPTF
ZNF263,APC
ZNF263,ATM
ZNF263,PRAME
ZNF263,FRAT1
ZNF263,CDKN1A
ZNF263,APC2
ZNF263,CDO1
ZNF263,GNAZ
ZNF263,ACADL
ZNF263,GPIHBP1
ZNF263,NUF2
ZNF263,PPM1D
ZNF263,DLK1
ZNF263,P2RX6
ZNF263,LHX2
TRIM28,CEBPB
TRIM28,CTCF
TRIM28,ZNF274
TRIM28,E2F4
TRIM28,ESR1
TRIM28,NR3C1
TRIM28,PAX5
TRIM28,SETDB1
TRIM28,STAT5A
TRIM28,MAPK1
TRIM28,E2F3
TRIM28,PRAME
TRIM28,PIK3CB
CEBPB,BATF
CEBPB,CTCF
CEBPB,CTCFL
CEBPB,EGR1
CEBPB,EP300
CEBPB,ESR1
CEBPB,FOS
CEBPB,GATA1
CEBPB,NR3C1
CEBPB,FOXA2
CEBPB,HNF4A
CEBPB,HSF1
CEBPB,IRF4
CEBPB,JUND
CEBPB,MAX
CEBPB,MXI1
CEBPB,MYC
CEBPB,ATF3
CEBPB,NFE2
CEBPB,NFKB1
CEBPB,ZBTB7A
CEBPB,POU5F1
CEBPB,BDP1
CEBPB,RAD21
CEBPB,RXRA
CEBPB,PRDM1
CEBPB,SMARCA4
CEBPB,SMARCB1
CEBPB,SMARCC1
CEBPB,SP1
CEBPB,SPI1
CEBPB,BRCA1
CEBPB,SREBF1
CEBPB,SREBF2
CEBPB,SRF
CEBPB,STAT3
CEBPB,TAL1
CEBPB,TCF4
CEBPB,TCF12
CEBPB,TFAP2A
CEBPB,USF1
CEBPB,YY1
CEBPB,FOSL1
CEBPB,BHLHE40
CEBPB,SMC3
CEBPB,TP53
CEBPB,STAT5A
CEBPB,RELA
CEBPB,PPARG
CEBPB,ELK1
CEBPB,CREB1
CEBPB,STAT6
CEBPB,SMAD4
CEBPB,SMAD3
CEBPB,PAX6
CEBPB,MYB
CEBPB,E2F2
CEBPB,CEBPA
CEBPB,ATF4
CEBPB,ATF2
CEBPB,XBP1
CEBPB,NR2F2
CEBPB,NFIL3
CEBPB,CLEC5A
CEBPB,MEIS1
CEBPB,MAPK3
CEBPB,MAPK1
CEBPB,LMO2
CEBPB,HLF
CEBPB,FOXO1
CEBPB,DDIT3
CEBPB,CREBBP
CEBPB,ARNT
CEBPB,HIF3A
CEBPB,NOTCH3
CEBPB,RB1
CEBPB,CES1
CEBPB,CDKN1A
CEBPB,APC2
CEBPB,DLK1
CEBPB,NMU
CEBPB,ESM1
CEBPB,ADH1B
CEBPB,COL4A2
CEBPB,CSAG1
CEBPB,EPO
CEBPB,HEPACAM
CEBPB,FZD2
CEBPB,FGF21
CEBPB,MYEOV
CEBPB,CXCL2
CEBPB,APOB
CEBPB,ITIH2
CEBPB,MAGEA2
CEBPB,MAGEA3
CEBPB,MAGEB2
CEBPB,MSH2
CEBPB,MAGEC2
CEBPB,FXYD1
CEBPB,ANLN
CEBPB,RBP4
CEBPB,BUB1
CEBPB,TNNI3
CEBPB,CDC42BPA
CEBPB,AOC3
CEBPB,RECQL5
CEBPB,ZIC5
CEBPB,WNT10B
CEBPB,SLC30A8
CEBPB,SAA2
CEBPB,RPS6KB2
CEBPB,PTEN
CEBPB,PRG4
CEBPB,PAX7
CEBPB,NNAT
CEBPB,LEP
CEBPB,KCNJ3
CEBPB,INHBA
CEBPB,IL19
CEBPB,GPR139
CEBPB,GBX2
CEBPB,GADD45G
CEBPB,GABRA3
CEBPB,G0S2
CEBPB,EXT1
CEBPB,CNTNAP2
CEBPB,CLEC3B
CEBPB,CHEK2
CEBPB,CELF3
CEBPB,CCL11
CEBPB,EGFR
CEBPB,OXTR
CEBPB,MMP1
CEBPB,HBB
CEBPB,PLAC1
CEBPB,SLC5A8
BATF,CTCF
BATF,EBF1
BATF,EGR1
BATF,EP300
BATF,FOS
BATF,GATA3
BATF,JUN
BATF,JUND
BATF,MAX
BATF,MYC
BATF,NFKB1
BATF,PRDM1
BATF,SMARCC1
BATF,TFAP2A
BATF,TFAP2C
BATF,YY1
BATF,BHLHE40
BATF,SMC3
BATF,BCLAF1
BATF,NFKB2
BATF,EGR2
BATF,RREB1
BATF,JUNB
BATF,FOXO3
BATF,DDIT3
BATF,ASCL1
BATF,NCOA3
BATF,CEACAM5
BATF,PPM1D
BATF,RECQL5
BATF,A2ML1
BATF,FABP6
BATF,CASP14
BATF,IGFL3
BATF,MMP10
BATF,PLK1
BATF,RPS6KB1
BATF,DLK2
CTCF,ZNF274
CTCF,POLR3A
CTCF,CTCFL
CTCF,SIX5
CTCF,E2F1
CTCF,E2F4
CTCF,E2F6
CTCF,EBF1
CTCF,EGR1
CTCF,ELK4
CTCF,EP300
CTCF,ESRRA
CTCF,FOSL2
CTCF,GATA2
CTCF,NR3C1
CTCF,FOXA1
CTCF,FOXA2
CTCF,IRF1
CTCF,IRF3
CTCF,IRF4
CTCF,MXI1
CTCF,MYC
CTCF,ATF3
CTCF,NFKB1
CTCF,NFYA
CTCF,PAX5
CTCF,SIRT6
CTCF,BRF2
CTCF,WRNIP1
CTCF,RAD21
CTCF,BCL3
CTCF,SMARCC2
CTCF,SPI1
CTCF,BRCA1
CTCF,STAT3
CTCF,TAL1
CTCF,TCF12
CTCF,TFAP2A
CTCF,TFAP2C
CTCF,USF2
CTCF,YY1
CTCF,NANOG
CTCF,HMGN3
CTCF,BCLAF1
CTCF,TP53
CTCF,STAT5A
CTCF,STAT6
CTCF,STAT4
CTCF,SMAD4
CTCF,SMAD3
CTCF,PAX6
CTCF,NFKB2
CTCF,LEF1
CTCF,E2F2
CTCF,CEBPA
CTCF,ATF4
CTCF,WT1
CTCF,TGIF1
CTCF,TCF7L1
CTCF,SOX9
CTCF,SOS1
CTCF,NR2F2
CTCF,NR2F1
CTCF,NFIL3
CTCF,MIF
CTCF,MAPK1
CTCF,FOXD1
CTCF,ESR2
CTCF,E2F7
CTCF,E2F5
CTCF,E2F3
CTCF,BPTF
CTCF,BBC3
CTCF,BACH2
CTCF,BACH1
CTCF,ATF6
CTCF,APC
CTCF,ASCL1
CTCF,ATM
CTCF,BRIP1
CTCF,HEYL
CTCF,NCOA3
CTCF,NOTCH4
CTCF,CEACAM5
CTCF,PRAME
CTCF,CEACAM6
CTCF,APC2
